,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location,Score,Rank
特洛伊-布朗,2.6,0.1,4.4,9.014,0.4,1.9,2.0140000000000002,0.884,0.784,69,22,1782,25.8,1.1,716,10.4,5.6,1.2,0.884,0.341,1.1,后卫,-0.31605339174791874,58
托马斯-萨托兰斯基,5.4,0.1,2.7,8.477,0.4,2.1,1.8619999999999999,0.985,0.8759999999999999,65,64,1878,28.9,1.2,644,9.9,3.9,1.2,0.985,0.322,2.0,后卫,-0.33367306635685634,59
多特-迪万斯索,2.3,0.3,3.8,7.727,0.5,1.7,1.3030000000000002,1.258,0.733,66,24,1520,23.0,1.0,610,9.2,4.8,1.3,1.258,0.336,1.4,后卫,-0.3519814547893755,60
亚历克-伯克斯,2.9,0.3,3.5,11.636,0.4,1.9,4.015,1.758,0.887,66,19,1754,26.6,0.7,993,15.0,4.3,0.9,1.758,0.385,1.4,后卫,-0.35205915036947166,61
戈兰-德拉季奇,5.1,0.2,2.7,12.270999999999999,0.4,2.1,4.169,2.102,0.7759999999999999,59,3,1663,28.2,0.5,953,16.2,3.2,0.7,2.102,0.3670000000000001,2.4,后卫,-0.359016675667699,62
丹纽尔-豪斯,1.3,0.5,3.3,8.556000000000001,0.4,2.1,1.429,2.048,0.8109999999999999,63,52,1913,30.4,0.9,662,10.5,4.2,1.1,2.048,0.363,0.9,后卫,-0.37997506874590087,63
德里克-怀特,3.5,0.9,2.8,8.118,0.5,2.2,3.103,1.162,0.853,68,20,1677,24.7,0.5,765,11.3,3.3,0.6,1.162,0.366,1.3,后卫,-0.4139487080760992,64
博格丹-博格达诺维奇,3.4,0.2,3.0,12.557,0.4,2.2,1.902,2.6889999999999996,0.741,61,28,1766,29.0,0.4,924,15.1,3.4,1.0,2.6889999999999996,0.3720000000000001,1.7,后卫,-0.4141792480126601,65
Jarrett Culver,1.7,0.6,2.3,9.032,0.4,2.0,1.857,1.048,0.462,63,35,1506,23.9,1.1,580,9.2,3.4,0.9,1.048,0.299,1.3,后卫,-0.41739150684076426,66
维克托-奥拉迪波,2.9,0.2,3.5,12.947000000000001,0.4,1.9,3.105,1.7369999999999999,0.8140000000000001,19,16,528,27.8,0.5,275,14.5,3.9,0.9,1.7369999999999999,0.317,2.5,后卫,-0.48452330342974875,67
乔-因戈尔斯,5.2,0.2,3.5,7.681,0.4,2.1,1.306,1.9580000000000002,0.787,72,45,2137,29.7,0.4,707,9.8,3.9,0.9,1.9580000000000002,0.39899999999999997,2.0,后卫,-0.49797633927970436,68
麦克-康利,4.4,0.1,2.5,12.064,0.4,2.2,2.957,2.043,0.8270000000000001,47,41,1363,29.0,0.7,675,14.4,3.2,0.8,2.043,0.375,2.0,后卫,-0.49846579501695615,69
Cameron Reddish,1.5,0.5,3.1,9.552,0.4,2.3,2.1719999999999997,1.431,0.802,58,34,1551,26.7,0.6,610,10.5,3.7,1.1,1.431,0.332,1.7,后卫,-0.5202370007774775,70
德里克-罗斯,5.6,0.3,1.9,15.06,0.5,1.0,2.78,0.9,0.871,50,15,1298,26.0,0.5,904,18.1,2.4,0.8,0.9,0.306,2.5,后卫,-0.577833652088945,71
肯德里克-纳恩,3.3,0.2,2.4,13.642000000000001,0.4,2.3,1.493,2.045,0.85,67,67,1962,29.3,0.3,1024,15.3,2.7,0.8,2.045,0.35,1.7,后卫,-0.5814306372045408,72
鲁迪-盖伊,1.7,0.5,4.5,8.896,0.4,1.5,2.03,1.104,0.882,67,5,1461,21.8,0.9,726,10.8,5.4,0.5,1.104,0.336,1.3,后卫,-0.6393693236565796,73
卢克-肯纳德,4.1,0.2,3.2,12.214,0.4,2.3,2.679,2.6069999999999998,0.893,28,25,922,32.9,0.3,442,15.8,3.5,0.4,2.6069999999999998,0.39899999999999997,1.5,后卫,-0.6600580144337832,74
小蒂姆-哈达威,1.9,0.1,2.9,12.450999999999999,0.4,1.8,2.563,2.873,0.8190000000000001,71,58,2091,29.5,0.4,1121,15.8,3.3,0.6,2.873,0.39799999999999996,1.0,后卫,-0.6784278867645049,75
杰夫-蒂格,6.1,0.4,2.1,9.529,0.4,2.1,4.235,0.971,0.868,34,13,945,27.8,0.4,448,13.2,2.6,0.7,0.971,0.379,2.2,后卫,-0.7645216551939643,76
加里-哈里斯,2.1,0.3,2.4,9.267999999999999,0.4,2.1,1.643,1.25,0.815,56,55,1780,31.8,0.5,581,10.4,2.9,1.4,1.25,0.33299999999999996,1.1,后卫,-0.764537945232416,77
乔丹-麦克雷,2.8,0.5,3.0,10.931,0.4,2.1,2.862,1.379,0.7709999999999999,29,4,654,22.6,0.6,370,12.8,3.6,0.7,1.379,0.377,1.3,后卫,-0.7883660670575445,78
伊斯-史密斯,4.9,0.4,2.8,10.132,0.4,1.6,1.265,0.912,0.721,68,23,1787,26.3,0.4,740,10.9,3.2,0.9,0.912,0.3670000000000001,1.4,后卫,-0.8020674349201654,79
加雷特-坦普尔,2.5,0.5,3.0,9.468,0.4,1.7,1.403,2.048,0.805,62,35,1730,27.9,0.5,641,10.3,3.5,0.8,2.048,0.32899999999999996,1.0,后卫,-0.8172650716525273,80
卡梅伦-佩恩,3.0,0.3,3.4,8.5,0.5,2.5,0.875,1.875,0.857,8,0,183,22.9,0.5,87,10.9,3.9,1.0,1.875,0.517,1.4,后卫,-0.8813273510088909,81
沙巴兹-内皮尔,4.7,0.2,2.4,8.142999999999999,0.4,1.8,2.7319999999999998,1.357,0.8240000000000001,56,32,1345,24.0,0.5,578,10.3,2.8,1.2,1.357,0.317,2.3,后卫,-0.8851219596657528,82
Coby White,2.7,0.1,3.1,12.185,0.4,1.8,1.985,2.046,0.7909999999999999,65,1,1674,25.8,0.4,859,13.2,3.5,0.8,2.046,0.354,1.7,后卫,-0.8991850882091504,83
Tyler Herro,2.2,0.2,3.8,11.472999999999999,0.4,1.4,1.818,2.109,0.87,55,8,1508,27.4,0.3,743,13.5,4.1,0.6,2.109,0.389,1.6,后卫,-0.9143877503136549,84
特伦斯-罗斯,1.2,0.3,3.0,12.261,0.4,1.6,2.667,2.565,0.853,69,0,1889,27.4,0.2,1016,14.7,3.2,1.1,2.565,0.35100000000000003,1.0,后卫,-0.9350440733907269,85
迪昂-维特斯,1.0,0.7,3.7,8.667,0.4,1.7,0.33299999999999996,2.667,0.0,3,0,42,14.0,0.0,28,9.3,3.7,0.0,2.667,0.47100000000000003,1.0,后卫,-0.9406421057998602,86
Kevin Porter Jr.,2.2,0.3,2.8,8.42,0.4,2.7,2.02,1.06,0.723,50,3,1162,23.2,0.4,498,10.0,3.2,0.9,1.06,0.335,1.9,后卫,-0.9426922904691089,87
罗德尼-胡德,1.5,0.2,3.0,8.19,0.5,2.2,1.286,1.6669999999999998,0.778,21,21,619,29.5,0.5,230,11.0,3.4,0.8,1.6669999999999998,0.493,0.9,后卫,-0.9622532129575984,88
乔丹-克拉克森,1.9,0.2,1.9,12.210999999999999,0.5,1.5,2.324,2.141,0.836,71,2,1705,24.0,0.7,1078,15.2,2.6,0.6,2.141,0.368,1.4,后卫,-0.992263690047909,89
Darius Garland,3.9,0.1,1.4,11.847000000000001,0.4,1.6,1.22,1.78,0.875,59,59,1824,30.9,0.5,728,12.3,1.9,0.7,1.78,0.355,2.6,后卫,-1.0266404042744515,90
JJ-雷迪克,2.0,0.2,2.4,10.517000000000001,0.5,1.6,3.083,3.0,0.892,60,36,1581,26.4,0.2,917,15.3,2.5,0.3,3.0,0.45299999999999996,1.3,后卫,-1.0455900929573412,91
