cnName,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG
安东尼-戴维斯,3.8,1.5,4.8,10.5,0.4,1.5,4.75,0.25,0.789,4,4,83,20.8,1.5,52,13.0,6.3,1.0,0.25,0.111,1.5
本-西蒙斯,5.0,0.7,6.0,8.667,0.6,2.3,3.667,0.33299999999999996,0.545,3,3,68,22.7,1.3,39,13.0,7.3,1.7,0.33299999999999996,1.0,3.7
托马斯-布莱恩特,1.6,0.4,7.0,10.2,0.5,2.0,2.8,1.8,0.7140000000000001,5,5,113,22.6,2.0,65,13.0,9.0,0.2,1.8,0.429,1.4
德维恩-培根,2.2,0.2,2.8,11.0,0.4,2.8,4.6,0.8,0.826,5,5,126,25.2,0.6,65,13.0,3.4,0.0,0.8,0.21100000000000002,3.0
埃里克-戈登,1.8,0.7,0.7,9.333,0.5,0.5,0.833,3.167,1.0,6,4,129,21.5,0.2,78,13.0,0.8,1.0,3.167,0.46299999999999997,1.2
拉马库斯-阿尔德里奇,1.8,1.3,4.8,10.25,0.5,1.0,2.5,0.5,0.7,4,4,88,22.0,1.3,51,12.8,6.0,1.0,0.5,0.667,1.0
凯利-乌布雷,1.0,0.7,3.0,10.333,0.3,3.0,7.332999999999999,1.0,0.8640000000000001,3,2,60,20.0,0.3,38,12.7,3.3,1.3,1.0,0.214,1.3
杰夫-格林,1.2,0.4,2.2,7.6,0.7,0.8,1.6,1.4,0.5,5,3,97,19.4,0.6,63,12.6,2.8,0.6,1.4,0.467,1.4
尤吉-费雷尔,2.8,0.2,2.0,7.8,0.5,1.4,2.8,2.4,0.929,5,1,98,19.6,0.4,63,12.6,2.4,0.6,2.4,0.5710000000000001,2.0
德里克-罗斯,3.5,0.5,2.3,10.75,0.4,1.8,3.5,0.0,0.857,4,0,83,20.8,0.3,50,12.5,2.5,0.5,0.0,0.0,1.5
乔丹-麦克雷,2.0,0.8,1.5,9.5,0.5,2.0,0.75,2.0,0.667,4,1,84,21.0,0.0,50,12.5,1.5,1.0,2.0,0.5329999999999999,0.8
多曼塔斯-萨博尼斯,2.8,0.5,8.5,10.75,0.4,2.0,4.25,0.25,0.647,4,4,98,24.5,2.8,50,12.5,11.3,0.5,0.25,0.125,2.5
博格丹-博格达诺维奇,4.5,0.3,2.5,9.75,0.4,2.3,2.0,2.5,0.75,4,0,101,25.3,0.5,50,12.5,3.0,0.8,2.5,0.556,2.8
Chris Clemons,2.3,0.2,1.8,11.0,0.4,1.5,2.0,2.833,0.833,6,0,98,16.3,0.5,75,12.5,2.3,0.7,2.833,0.327,1.2
凯利-奥利尼克,1.0,0.0,1.5,6.5,0.8,1.5,0.5,2.0,1.0,2,0,24,12.0,0.5,25,12.5,2.0,0.0,2.0,0.5710000000000001,1.0
安芬尼-西蒙斯,1.8,0.0,3.6,11.2,0.4,2.6,0.8,2.2,0.75,5,2,123,24.6,0.4,62,12.4,4.0,0.2,2.2,0.5,1.2
格雷森-艾伦,2.4,0.6,2.6,8.4,0.5,1.4,3.4,1.6,0.941,5,2,117,23.4,0.2,62,12.4,2.8,0.2,1.6,0.364,1.4
Jarrett Culver,2.0,0.4,2.2,12.2,0.4,1.0,1.8,1.4,0.556,5,0,118,23.6,1.2,62,12.4,3.4,1.0,1.4,0.28,1.6
约什-理查德森,4.0,0.6,1.6,9.6,0.4,1.2,3.2,1.6,0.75,5,5,115,23.0,1.0,62,12.4,2.6,1.8,1.6,0.33299999999999996,1.0
P.J. Washington,1.8,0.6,3.8,7.0,0.6,3.0,2.2,1.6,0.818,5,3,127,25.4,1.2,61,12.2,5.0,1.0,1.6,0.5,2.0
德文特-葛拉罕,3.8,0.0,2.8,8.8,0.5,1.6,2.2,2.0,0.636,5,1,120,24.0,1.0,61,12.2,3.8,0.8,2.0,0.4,2.6
