,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
托马斯-布莱恩特,1.8,1.1,5.1,9.087,0.6,2.2,2.522,0.804,0.741,46,36,1147,24.9,2.1,609,13.2,7.2,0.5,0.804,0.407,1.2,前锋
克里斯蒂安-伍德,1.0,0.9,4.6,8.193999999999999,0.6,1.6,3.903,0.871,0.7440000000000001,62,12,1325,21.4,1.7,810,13.1,6.3,0.5,0.871,0.386,1.4,前锋
迈尔斯-布里奇斯,1.8,0.7,4.2,11.585,0.4,2.0,2.015,1.523,0.809,65,64,1996,30.7,1.4,843,13.0,5.6,0.6,1.523,0.33,1.5,前锋
凯尔-库兹马,1.3,0.4,3.6,10.951,0.4,2.1,2.541,1.41,0.735,61,9,1526,25.0,0.9,782,12.8,4.5,0.5,1.41,0.316,1.5,前锋
罗伯特-科温顿,1.2,0.9,5.2,10.333,0.4,3.1,1.958,2.25,0.7979999999999999,48,47,1411,29.4,0.8,615,12.8,6.0,1.7,2.25,0.34600000000000003,1.5,前锋
达迈·李,2.7,0.1,4.2,10.429,0.4,2.4,2.571,1.735,0.873,49,36,1423,29.0,0.7,621,12.7,4.9,1.0,1.735,0.35600000000000004,1.4,前锋
杰里米-兰姆,2.1,0.5,3.8,10.413,0.5,2.3,2.391,1.152,0.836,46,42,1291,28.1,0.5,577,12.5,4.3,1.2,1.152,0.335,1.1,前锋
DeAndre Hunter,1.8,0.3,3.8,10.841,0.4,2.9,2.286,1.714,0.764,63,62,2018,32.0,0.7,778,12.3,4.5,0.7,1.714,0.355,1.6,前锋
里乔恩-霍姆斯,1.0,1.3,5.3,7.818,0.6,3.8,2.682,0.0,0.7879999999999999,44,38,1242,28.2,2.9,539,12.3,8.1,0.9,0.0,0.0,1.2,前锋
P.J. Washington,2.1,0.8,4.4,10.155,0.5,2.7,2.345,1.483,0.647,58,57,1759,30.3,1.0,710,12.2,5.4,0.9,1.483,0.374,1.6,前锋
凯文-赫尔特,3.8,0.5,3.4,10.893,0.4,2.5,1.143,2.268,0.828,56,48,1760,31.4,0.6,684,12.2,4.1,0.9,2.268,0.38,1.6,前锋
Brandon Clarke,1.4,0.8,4.4,8.259,0.6,1.7,1.931,0.397,0.759,58,4,1300,22.4,1.6,700,12.1,5.9,0.6,0.397,0.359,0.9,前锋
迈尔斯-特纳,1.2,2.1,5.2,9.468,0.5,2.7,2.7260000000000004,1.3869999999999998,0.7509999999999999,62,62,1826,29.5,1.4,749,12.1,6.6,0.7,1.3869999999999998,0.344,1.4,前锋
托里恩-普林斯,1.8,0.4,5.2,11.547,0.4,2.5,1.391,2.281,0.7979999999999999,64,61,1857,29.0,0.8,773,12.1,6.0,0.9,2.281,0.339,2.0,前锋
杰拉米-格兰特,1.2,0.8,2.7,8.93,0.5,2.2,2.761,1.38,0.75,71,24,1892,26.6,0.8,851,12.0,3.5,0.7,1.38,0.389,0.9,前锋
特里斯坦-汤普森,2.1,0.9,6.2,9.86,0.5,2.2,2.825,0.158,0.615,57,51,1722,30.2,4.0,684,12.0,10.1,0.6,0.158,0.391,1.8,前锋
乔纳森-艾萨克,1.4,2.3,5.1,9.765,0.5,2.4,2.265,0.941,0.779,34,32,980,28.8,1.7,404,11.9,6.8,1.6,0.941,0.34,1.4,前锋
艾尔-霍福德,4.0,0.9,5.3,10.582,0.4,2.1,1.194,1.4780000000000002,0.763,67,61,2026,30.2,1.5,798,11.9,6.8,0.8,1.4780000000000002,0.35,1.2,前锋
奥托-波特,1.8,0.4,2.5,10.0,0.4,2.2,1.929,1.714,0.7040000000000001,14,9,331,23.6,0.9,167,11.9,3.4,1.1,1.714,0.387,0.8,前锋
格伦-罗宾逊,1.5,0.3,3.0,9.548,0.5,1.6,1.3869999999999998,1.242,0.86,62,52,1786,28.8,1.3,727,11.7,4.4,0.9,1.242,0.391,0.9,前锋
保罗-米尔萨普,1.6,0.6,3.8,8.588,0.5,2.9,2.765,1.0590000000000002,0.816,51,48,1240,24.3,1.9,591,11.6,5.7,0.9,1.0590000000000002,0.435,1.4,前锋
阿隆-贝恩斯,1.6,0.5,4.0,9.071,0.5,3.4,1.786,1.405,0.747,42,28,934,22.2,1.7,481,11.5,5.6,0.2,1.405,0.35100000000000003,1.2,前锋
内马尼亚-别利察,2.8,0.6,4.8,9.069,0.5,3.0,1.167,1.861,0.821,72,67,2011,27.9,1.5,831,11.5,6.4,0.9,1.861,0.419,1.4,前锋
贾斯蒂斯-温斯洛,4.0,0.5,5.2,11.727,0.4,3.5,2.455,0.545,0.667,11,5,352,32.0,1.5,124,11.3,6.6,0.6,0.545,0.222,2.2,前锋
温德尔-卡特,1.2,0.8,6.2,7.977,0.5,3.8,3.535,0.14,0.737,43,43,1256,29.2,3.2,484,11.3,9.4,0.8,0.14,0.207,1.7,前锋
科迪-泽勒,1.5,0.4,4.3,8.259,0.5,2.4,3.0860000000000003,0.31,0.682,58,39,1341,23.1,2.8,642,11.1,7.1,0.7,0.31,0.24,1.3,前锋
切迪-奥斯曼,2.4,0.2,3.0,9.369,0.4,2.5,1.446,1.892,0.67,65,65,1910,29.4,0.6,718,11.0,3.6,0.8,1.892,0.383,1.4,前锋
罗德尼-胡德,1.5,0.2,3.0,8.19,0.5,2.2,1.286,1.6669999999999998,0.778,21,21,619,29.5,0.5,230,11.0,3.4,0.8,1.6669999999999998,0.493,0.9,前锋
鲁迪-盖伊,1.7,0.5,4.5,8.896,0.4,1.5,2.03,1.104,0.882,67,5,1461,21.8,0.9,726,10.8,5.4,0.5,1.104,0.336,1.3,前锋
达里奥-萨里奇,1.9,0.2,4.6,8.152000000000001,0.5,2.4,1.939,1.273,0.8440000000000001,66,51,1632,24.7,1.5,704,10.7,6.2,0.6,1.273,0.35700000000000004,1.3,前锋
OG-阿奴诺比,1.6,0.7,4.1,8.203,0.5,2.4,1.4780000000000002,1.29,0.706,69,68,2066,29.9,1.2,733,10.6,5.3,1.4,1.29,0.39,1.1,前锋
Cameron Reddish,1.5,0.5,3.1,9.552,0.4,2.3,2.172,1.431,0.802,58,34,1551,26.7,0.6,610,10.5,3.7,1.1,1.431,0.332,1.7,前锋
丹纽尔-豪斯,1.3,0.5,3.3,8.556000000000001,0.4,2.1,1.429,2.048,0.8109999999999999,63,52,1913,30.4,0.9,662,10.5,4.2,1.1,2.048,0.363,0.9,前锋
特洛伊-布朗,2.6,0.1,4.4,9.014,0.4,1.9,2.014,0.884,0.784,69,22,1782,25.8,1.1,716,10.4,5.6,1.2,0.884,0.341,1.1,前锋
赛迪斯-杨,1.8,0.4,3.5,9.391,0.4,2.1,1.125,1.234,0.583,64,16,1591,24.9,1.5,659,10.3,4.9,1.4,1.234,0.35600000000000004,1.6,前锋
加雷特-坦普尔,2.5,0.5,3.0,9.468,0.4,1.7,1.403,2.048,0.805,62,35,1730,27.9,0.5,641,10.3,3.5,0.8,2.048,0.329,1.0,前锋
道格-迈克德莫特,1.1,0.1,2.1,7.928,0.5,1.7,0.841,1.855,0.828,69,0,1372,19.9,0.4,710,10.3,2.5,0.2,1.855,0.435,0.6,前锋
小拉里-南斯,2.2,0.4,5.4,7.6960000000000015,0.5,1.6,1.321,1.0,0.6759999999999999,56,10,1472,26.3,1.9,564,10.1,7.3,1.0,1.0,0.35200000000000004,1.1,前锋
鲍比-波蒂斯,1.5,0.3,3.9,8.924,0.4,1.7,1.409,1.015,0.763,66,5,1394,21.1,1.2,668,10.1,5.1,0.5,1.015,0.358,1.1,前锋
Kevin Porter Jr.,2.2,0.3,2.8,8.42,0.4,2.7,2.02,1.06,0.723,50,3,1162,23.2,0.4,498,10.0,3.2,0.9,1.06,0.335,1.9,前锋
