cnName,teamName
肯塔维厄斯 卡德维尔-波普,湖人
兰德里-沙梅特,快船
马基斯-克里斯,勇士
Michael Porter Jr.,掘金
多特-迪万斯索,雄鹿
Jarrett Culver,森林狼
丹尼尔-泰斯,凯尔特人
马克西-克勒贝尔,独行侠
杰克-雷曼,森林狼
Keldon Johnson,马刺
