cnName,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG
托里恩-普林斯,2.1,0.3,3.2,10.8,0.4,2.6,2.109,2.2359999999999998,0.8190000000000001,55,47,1552,28.2,0.4,742,13.5,3.6,1.0,2.2359999999999998,0.39,1.8
卡梅隆-安东尼,0.5,0.7,4.5,12.1,0.4,3.2,2.2,2.1,0.682,10,2,294,29.4,0.9,134,13.4,5.4,0.4,2.1,0.32799999999999996,0.8
迈尔斯-特纳,1.6,2.7,5.8,10.540999999999999,0.5,2.6,2.716,1.0270000000000001,0.736,74,74,2119,28.6,1.4,984,13.3,7.2,0.8,1.0270000000000001,0.38799999999999996,1.4
切迪-奥斯曼,2.6,0.1,4.1,11.105,0.4,2.6,2.3819999999999997,1.7109999999999999,0.779,76,75,2444,32.2,0.6,991,13.0,4.7,0.8,1.7109999999999999,0.348,1.5
杰伦-布朗,1.4,0.4,3.4,10.703,0.5,2.5,2.73,1.284,0.6579999999999999,74,25,1913,25.9,0.9,964,13.0,4.2,0.9,1.284,0.344,1.3
凯利-乌布雷,0.7,0.7,3.6,10.517000000000001,0.4,2.4,2.931,1.4140000000000001,0.8,29,7,755,26.0,0.8,373,12.9,4.4,0.9,1.4140000000000001,0.311,1.0
加里-哈里斯,2.2,0.3,2.1,11.175,0.4,2.0,2.526,1.439,0.799,57,48,1639,28.8,0.7,737,12.9,2.8,1.0,1.439,0.33899999999999997,1.2
凯文-诺克斯,1.1,0.3,3.7,12.187000000000001,0.4,2.3,3.013,1.6669999999999998,0.7170000000000001,75,57,2158,28.8,0.8,963,12.8,4.5,0.6,1.6669999999999998,0.34299999999999997,1.5
韦斯利-马修斯,2.3,0.3,1.8,10.609000000000002,0.4,2.3,2.5,2.217,0.7909999999999999,46,45,1366,29.7,0.5,589,12.8,2.3,0.7,2.217,0.374,1.3
德怀特-霍华德,0.4,0.4,6.6,7.667000000000001,0.6,3.8,5.332999999999999,0.0,0.604,9,9,230,25.6,2.7,115,12.8,9.2,0.8,0.0,0.0,1.8
里基-卢比奥,6.1,0.1,3.1,10.735,0.4,2.6,3.353,1.162,0.855,68,67,1899,27.9,0.5,864,12.7,3.6,1.3,1.162,0.311,2.6
赛迪斯-杨,2.5,0.4,4.1,10.383,0.5,2.4,1.6669999999999998,0.63,0.644,81,81,2489,30.7,2.4,1024,12.6,6.5,1.5,0.63,0.349,1.5
保罗-米尔萨普,2.0,0.8,5.0,9.5,0.5,2.6,3.557,0.8290000000000001,0.727,70,65,1895,27.1,2.2,883,12.6,7.2,1.2,0.8290000000000001,0.365,1.4
奥托-波特,2.0,0.5,4.7,10.78,0.5,1.9,1.561,1.585,0.7659999999999999,41,28,1191,29.0,1.0,518,12.6,5.6,1.6,1.585,0.369,1.0
贾斯蒂斯-温斯洛,4.3,0.3,4.4,11.347999999999999,0.4,2.7,2.076,1.455,0.628,66,52,1960,29.7,1.0,830,12.6,5.4,1.1,1.455,0.375,2.2
