,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
马利克-比斯利,1.4,0.1,2.4,9.709,0.4,1.4,1.2,1.945,0.818,55,14,1209,22.0,0.3,615,11.2,2.7,0.7,1.945,0.388,1.0,后卫
布林-福布斯,1.7,0.0,1.8,9.222,0.4,1.8,1.429,2.349,0.833,63,62,1579,25.1,0.2,707,11.2,2.0,0.5,2.349,0.388,0.9,后卫
麦克-穆尔德,1.1,0.1,2.9,9.571,0.4,2.9,1.714,2.286,0.75,7,3,204,29.1,0.4,77,11.0,3.3,0.3,2.286,0.308,0.7,后卫
罗德尼-胡德,1.5,0.2,3.0,8.19,0.5,2.2,1.286,1.6669999999999998,0.778,21,21,619,29.5,0.5,230,11.0,3.4,0.8,1.6669999999999998,0.493,0.9,后卫
伊斯-史密斯,4.9,0.4,2.8,10.132,0.4,1.6,1.265,0.912,0.721,68,23,1787,26.3,0.4,740,10.9,3.2,0.9,0.912,0.3670000000000001,1.4,后卫
卡梅伦-佩恩,3.0,0.3,3.4,8.5,0.5,2.5,0.875,1.875,0.857,8,0,183,22.9,0.5,87,10.9,3.9,1.0,1.875,0.517,1.4,后卫
德章泰-穆雷,4.1,0.3,4.8,9.652,0.5,2.2,1.727,0.621,0.7979999999999999,66,58,1687,25.6,1.0,720,10.9,5.8,1.7,0.621,0.369,1.9,后卫
鲁迪-盖伊,1.7,0.5,4.5,8.896,0.4,1.5,2.03,1.104,0.882,67,5,1461,21.8,0.9,726,10.8,5.4,0.5,1.104,0.336,1.3,后卫
D.J.奥古斯丁,4.6,0.0,1.8,8.088,0.4,1.3,3.175,1.228,0.89,57,13,1420,24.9,0.4,599,10.5,2.1,0.6,1.228,0.348,1.5,后卫
Cameron Reddish,1.5,0.5,3.1,9.552,0.4,2.3,2.172,1.431,0.802,58,34,1551,26.7,0.6,610,10.5,3.7,1.1,1.431,0.332,1.7,后卫
丹纽尔-豪斯,1.3,0.5,3.3,8.556000000000001,0.4,2.1,1.429,2.048,0.8109999999999999,63,52,1913,30.4,0.9,662,10.5,4.2,1.1,2.048,0.363,0.9,后卫
加里-哈里斯,2.1,0.3,2.4,9.268,0.4,2.1,1.643,1.25,0.815,56,55,1780,31.8,0.5,581,10.4,2.9,1.4,1.25,0.333,1.1,后卫
特洛伊-布朗,2.6,0.1,4.4,9.014,0.4,1.9,2.014,0.884,0.784,69,22,1782,25.8,1.1,716,10.4,5.6,1.2,0.884,0.341,1.1,后卫
马利克-莫克,2.1,0.3,2.4,8.873,0.4,1.3,1.818,1.055,0.82,55,1,1169,21.3,0.5,564,10.3,2.9,0.5,1.055,0.284,1.4,后卫
加雷特-坦普尔,2.5,0.5,3.0,9.468,0.4,1.7,1.403,2.048,0.805,62,35,1730,27.9,0.5,641,10.3,3.5,0.8,2.048,0.329,1.0,后卫
沙巴兹-内皮尔,4.7,0.2,2.4,8.142999999999999,0.4,1.8,2.732,1.357,0.8240000000000001,56,32,1345,24.0,0.5,578,10.3,2.8,1.2,1.357,0.317,2.3,后卫
兰斯顿-加洛维,1.5,0.2,1.8,8.212,0.4,1.5,1.288,2.0,0.8590000000000001,66,6,1702,25.8,0.5,677,10.3,2.3,0.7,2.0,0.399,0.6,后卫
约什-哈特,1.7,0.4,5.6,8.185,0.4,2.5,1.769,1.862,0.7390000000000001,65,16,1755,27.0,0.9,656,10.1,6.5,1.0,1.862,0.342,1.2,后卫
本-麦克勒莫,0.8,0.2,1.9,7.676,0.4,2.2,0.944,2.549,0.746,71,23,1619,22.8,0.3,715,10.1,2.2,0.6,2.549,0.4,0.7,后卫
埃尔弗里德-佩顿,7.2,0.4,3.6,9.778,0.4,2.0,1.911,0.311,0.57,45,36,1246,27.7,1.2,449,10.0,4.7,1.6,0.311,0.203,2.1,后卫
Kevin Porter Jr.,2.2,0.3,2.8,8.42,0.4,2.7,2.02,1.06,0.723,50,3,1162,23.2,0.4,498,10.0,3.2,0.9,1.06,0.335,1.9,后卫
托马斯-萨托兰斯基,5.4,0.1,2.7,8.477,0.4,2.1,1.862,0.985,0.8759999999999999,65,64,1878,28.9,1.2,644,9.9,3.9,1.2,0.985,0.322,2.0,后卫
乔-因戈尔斯,5.2,0.2,3.5,7.681,0.4,2.1,1.306,1.958,0.787,72,45,2137,29.7,0.4,707,9.8,3.9,0.9,1.958,0.399,2.0,后卫
