,assists,assistsPG,blocks,blocksPG,cnName,defensiveRebounds,defensiveReboundsPG,doubleDoubles,efficiencyPG,ejections,enName,fgAttempted,fgAttemptedPG,fgMade,fgMissed,fgPCT,flagrantFouls,fouls,foulsPG,ftAttempted,ftAttemptedPG,ftMade,ftMadePG,ftMissed,ftPCT,games,gamesStarted,jerseyNum,minutes,minutesPG,offensiveRebounds,offensiveReboundsPG,playerId,points,pointsPG,rebounds,reboundsPG,seasonId,seasonType,steals,stealsPG,tFouls,teamId,teamName,threesAttempted,threesAttemptedPG,threesMade,threesMadePG,threesMisses,threesPCT,tripleDoubles,turnovers,turnoversPG
34,17,1.900,7,0.800,杰森-塔图姆,53,5.900,2,0.000,0,Jayson Tatum,112,12.444,49,0,0.4,0,21,2.300,39,4.333,29,1.111,0,0.744,9,9,0,295,32.800,7,0.800,1962937724,137,15.200,60,6.700,2018,2,10,1.100,0,2,凯尔特人,31,3.444,10,1.111,0,0.323,0,18,2.000
35,21,3.000,5,0.700,德里克-怀特,20,2.900,0,0.000,0,Derrick White,75,10.714,41,0,0.5,0,17,2.400,26,3.714,19,0.714,0,0.731,7,7,4,191,27.300,1,0.100,1962937753,106,15.100,21,3.000,2018,2,5,0.700,0,24,马刺,17,2.429,5,0.714,0,0.294,0,15,2.100
36,7,1.800,1,0.300,卢克-肯纳德,16,4.000,0,0.000,0,Luke Kennard,47,11.750,23,0,0.5,0,6,1.500,6,1.500,5,2.250,0,0.833,4,2,5,133,33.300,0,0.000,1962937731,60,15.000,16,4.000,2018,2,3,0.800,0,8,活塞,15,3.750,9,2.250,0,0.600,0,3,0.800
37,159,6.600,7,0.300,凯尔-洛瑞,96,4.000,2,0.000,0,Kyle Lowry,277,11.542,122,0,0.4,0,96,4.000,81,3.375,65,2.167,0,0.802,24,24,7,900,37.500,21,0.900,4152,361,15.000,117,4.900,2018,2,31,1.300,0,28,猛龙,145,6.042,52,2.167,0,0.359,0,54,2.300
38,11,0.800,15,1.100,保罗-米尔萨普,70,5.000,3,0.000,0,Paul Millsap,156,11.143,73,0,0.5,0,48,3.400,61,4.357,47,0.857,0,0.770,14,14,4,469,33.500,24,1.700,4175,205,14.600,94,6.700,2018,2,12,0.900,0,7,掘金,38,2.714,12,0.857,0,0.316,0,18,1.300
39,8,1.600,0,0.000,斯宾瑟-丁威迪,9,1.800,0,0.000,0,Spencer Dinwiddie,62,12.400,27,0,0.4,0,10,2.000,14,2.800,10,1.800,0,0.714,5,0,26,131,26.200,4,0.800,5349,73,14.600,13,2.600,2018,2,2,0.400,0,17,篮网,24,4.800,9,1.800,0,0.375,0,8,1.600
40,9,2.300,5,1.300,安德鲁-德拉蒙德,32,8.000,4,0.000,0,Andre Drummond,54,13.500,24,0,0.4,0,17,4.300,21,5.250,9,0.000,0,0.429,4,4,3,127,31.800,20,5.000,5015,57,14.300,52,13.000,2018,2,6,1.500,0,8,活塞,1,0.250,0,0.000,0,0.000,0,11,2.800
41,32,2.300,8,0.600,加里-哈里斯,49,3.500,0,0.000,0,Gary Harris,158,11.286,73,0,0.5,0,38,2.700,38,2.714,33,1.429,0,0.868,14,14,14,517,36.900,9,0.600,5330,199,14.200,58,4.100,2018,2,12,0.900,0,7,掘金,57,4.071,20,1.429,0,0.351,0,11,0.800
42,10,1.100,2,0.200,杰伦-布朗,46,5.100,0,0.000,0,Jaylen Brown,87,9.667,44,0,0.5,0,30,3.300,30,3.333,23,1.556,0,0.767,9,9,7,274,30.400,6,0.700,1962937413,125,13.900,52,5.800,2018,2,6,0.700,0,2,凯尔特人,40,4.444,14,1.556,0,0.350,0,16,1.800
43,72,6.000,12,1.000,本-西蒙斯,61,5.100,1,0.000,0,Ben Simmons,116,9.667,72,0,0.6,0,45,3.800,40,3.333,23,0.000,0,0.575,12,12,25,421,35.100,23,1.900,1962937408,167,13.900,84,7.000,2018,2,15,1.300,0,20,76人,0,0.000,0,0.000,0,0.000,1,32,2.700
44,40,4.400,7,0.800,艾尔-霍福德,68,7.600,3,0.000,0,Al Horford,110,12.222,46,0,0.4,0,21,2.300,18,2.000,15,2.000,0,0.833,9,9,42,310,34.400,13,1.400,4245,125,13.900,81,9.000,2018,2,4,0.400,0,2,凯尔特人,44,4.889,18,2.000,0,0.409,0,19,2.100
45,17,3.400,0,0.000,丹尼斯-施罗德,14,2.800,0,0.000,0,Dennis Schroder,55,11.000,25,0,0.5,0,11,2.200,18,3.600,13,1.200,0,0.722,5,0,17,151,30.200,2,0.400,5187,69,13.800,16,3.200,2018,2,4,0.800,0,25,雷霆,20,4.000,6,1.200,0,0.300,0,6,1.200
46,64,4.300,6,0.400,埃里克-布莱德索,36,2.400,0,0.000,0,Eric Bledsoe,185,12.333,76,0,0.4,0,28,1.900,51,3.400,36,1.133,0,0.706,15,15,6,423,28.200,20,1.300,4749,205,13.700,56,3.700,2018,2,16,1.100,0,15,雄鹿,72,4.800,17,1.133,0,0.236,0,32,2.100
47,19,3.200,5,0.800,亚历山大,12,2.000,0,0.000,0,Shai Gilgeous-Alexander,60,10.000,28,0,0.5,0,17,2.800,20,3.333,17,1.500,0,0.850,6,6,2,173,28.800,4,0.700,1962938060,82,13.700,16,2.700,2018,2,6,1.000,0,12,快船,18,3.000,9,1.500,0,0.500,0,5,0.800
48,11,1.200,5,0.600,马库斯-莫里斯,61,6.800,2,0.000,0,Marcus Morris Sr.,79,8.778,41,0,0.5,0,22,2.400,31,3.444,23,2.000,0,0.742,9,4,31,254,28.200,12,1.300,4895,123,13.700,73,8.100,2018,2,1,0.100,0,2,凯尔特人,40,4.444,18,2.000,0,0.450,0,7,0.800
49,19,1.600,3,0.300,JJ-雷迪克,16,1.300,0,0.000,0,JJ Redick,124,10.333,54,0,0.4,0,32,2.700,20,1.667,17,3.000,0,0.850,12,12,4,375,31.300,2,0.200,5395,161,13.400,18,1.500,2018,2,1,0.100,0,20,76人,87,7.250,36,3.000,0,0.414,0,22,1.800
50,187,8.500,33,1.500,德雷蒙德-格林,182,8.300,14,0.000,0,Draymond Green,229,10.409,114,0,0.5,0,85,3.900,71,3.227,51,0.591,0,0.718,22,22,23,850,38.600,41,1.900,5069,292,13.300,223,10.100,2018,2,32,1.500,0,9,勇士,57,2.591,13,0.591,0,0.228,6,83,3.800
51,6,1.500,5,1.300,朗戴 霍利斯-杰弗森,9,2.300,0,0.000,0,Rondae Hollis-Jefferson,33,8.250,16,0,0.5,0,7,1.800,25,6.250,20,0.250,0,0.800,4,0,4,62,15.500,3,0.800,5563,53,13.300,12,3.000,2018,2,1,0.300,0,17,篮网,1,0.250,1,0.250,0,1.000,0,3,0.800
52,7,1.400,2,0.400,特伦斯-罗斯,17,3.400,0,0.000,0,Terrence Ross,54,10.800,20,0,0.4,0,10,2.000,17,3.400,14,2.400,0,0.824,5,0,31,146,29.200,1,0.200,5014,66,13.200,18,3.600,2018,2,6,1.200,0,19,魔术,35,7.000,12,2.400,0,0.343,0,10,2.000
53,24,3.400,1,0.100,马尔科姆-布罗格登,28,4.000,1,0.000,0,Malcolm Brogdon,78,11.143,35,0,0.4,0,16,2.300,11,1.571,7,2.000,0,0.636,7,2,7,198,28.300,6,0.900,1962937442,91,13.000,34,4.900,2018,2,5,0.700,0,15,雄鹿,37,5.286,14,2.000,0,0.378,0,10,1.400
54,19,3.800,1,0.200,D.J.奥古斯丁,7,1.400,0,0.000,0,D.J. Augustin,41,8.200,20,0,0.5,0,7,1.400,16,3.200,14,2.000,0,0.875,5,5,14,141,28.200,1,0.200,4471,64,12.800,8,1.600,2018,2,2,0.400,0,19,魔术,21,4.200,10,2.000,0,0.476,0,7,1.400
55,10,2.000,0,0.000,伊万-福尼耶,13,2.600,0,0.000,0,Evan Fournier,69,13.800,24,0,0.3,0,14,2.800,8,1.600,6,1.600,0,0.750,5,5,10,175,35.000,3,0.600,5054,62,12.400,16,3.200,2018,2,7,1.400,0,19,魔术,34,6.800,8,1.600,0,0.235,0,12,2.400
56,16,4.000,0,0.000,达伦-科里森,8,2.000,0,0.000,0,Darren Collison,45,11.250,19,0,0.4,0,11,2.800,6,1.500,6,1.000,0,1.000,4,4,2,117,29.300,4,1.000,4626,48,12.000,12,3.000,2018,2,2,0.500,0,11,步行者,11,2.750,4,1.000,0,0.364,0,10,2.500
57,7,1.400,5,1.000,斯蒂文-亚当斯,24,4.800,0,0.000,0,Steven Adams,42,8.400,28,0,0.7,0,13,2.600,8,1.600,3,0.000,0,0.375,5,5,12,159,31.800,12,2.400,5163,59,11.800,36,7.200,2018,2,5,1.000,0,25,雷霆,1,0.200,0,0.000,0,0.000,0,9,1.800
58,4,0.800,9,1.800,德里克-费沃斯,22,4.400,2,0.000,0,Derrick Favors,36,7.200,23,0,0.6,0,12,2.400,19,3.800,13,0.000,0,0.684,5,2,22,103,20.600,15,3.000,4718,59,11.800,37,7.400,2018,2,4,0.800,0,26,爵士,3,0.600,0,0.000,0,0.000,0,5,1.000
59,4,0.800,10,2.000,杰拉米-格兰特,21,4.200,0,0.000,0,Jerami Grant,40,8.000,20,0,0.5,0,13,2.600,13,2.600,9,1.800,0,0.692,5,5,9,176,35.200,6,1.200,5350,58,11.600,27,5.400,2018,2,3,0.600,0,25,雷霆,20,4.000,9,1.800,0,0.450,0,4,0.800
60,42,2.800,4,0.300,乔治-希尔,38,2.500,0,0.000,0,George Hill,118,7.867,63,0,0.5,0,34,2.300,33,2.200,27,1.333,0,0.818,15,0,3,395,26.300,15,1.000,4488,173,11.500,53,3.500,2018,2,12,0.800,0,15,雄鹿,48,3.200,20,1.333,0,0.417,0,6,0.400
61,19,1.200,9,0.600,伊内斯-坎特,102,6.400,5,0.000,0,Enes Kanter,146,9.125,75,0,0.5,0,36,2.300,41,2.563,31,0.063,0,0.756,16,14,11,461,28.800,52,3.300,4899,182,11.400,154,9.600,2018,2,11,0.700,0,22,开拓者,4,0.250,1,0.063,0,0.250,0,26,1.600
62,19,1.700,8,0.700,PJ-塔克,63,5.700,4,0.000,0,P.J. Tucker,88,8.000,40,0,0.5,0,35,3.200,23,2.091,19,2.364,0,0.826,11,11,17,426,38.700,19,1.700,5396,125,11.400,82,7.500,2018,2,19,1.700,0,10,火箭,57,5.182,26,2.364,0,0.456,0,8,0.700
63,4,0.800,0,0.000,贾伊-克劳德,25,5.000,1,0.000,0,Jae Crowder,46,9.200,17,0,0.4,0,7,1.400,19,3.800,14,1.800,0,0.737,5,3,99,130,26.000,4,0.800,5068,57,11.400,29,5.800,2018,2,5,1.000,0,26,爵士,30,6.000,9,1.800,0,0.300,0,1,0.200
