cnName,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG
鲁迪-戈贝尔,1.4,2.6,5.6,6.4,0.6,3.2,4.6,0.0,0.7829999999999999,5,5,152,30.4,4.6,56,11.2,10.2,0.6,0.0,0.0,1.8
尼科拉-武切维奇,3.0,1.0,6.2,11.6,0.4,2.4,2.8,0.6,0.7859999999999999,5,5,147,29.4,1.8,56,11.2,8.0,0.4,0.6,0.231,2.6
布鲁克-洛佩兹,1.4,1.9,4.7,8.933,0.5,3.1,1.933,1.4669999999999999,0.828,15,15,438,29.2,0.8,168,11.2,5.5,0.4,1.4669999999999999,0.293,0.7
鲁迪-盖伊,1.7,0.7,5.3,10.0,0.4,1.9,2.4290000000000003,1.143,0.8240000000000001,7,0,178,25.4,1.9,78,11.1,7.1,0.4,1.143,0.42100000000000004,1.4
贾勒特艾伦,2.2,0.6,3.8,6.4,0.6,2.6,4.0,0.0,0.85,5,5,110,22.0,3.0,55,11.0,6.8,0.6,0.0,0.0,1.6
贾麦考-格林,0.8,0.0,4.3,7.167000000000001,0.5,3.7,1.6669999999999998,2.0,0.8,6,3,141,23.5,1.0,66,11.0,5.3,0.7,2.0,0.522,1.8
布林-福布斯,1.0,0.1,3.4,8.0,0.5,2.0,1.286,2.1430000000000002,0.667,7,7,212,30.3,0.1,75,10.7,3.6,0.1,2.1430000000000002,0.484,0.4
罗伊斯 奥尼尔,1.6,0.4,4.2,9.0,0.5,3.0,0.8,1.6,0.75,5,0,137,27.4,0.4,53,10.6,4.6,0.4,1.6,0.348,2.0
赛迪斯-杨,3.8,0.8,4.8,10.5,0.4,2.5,1.75,0.5,0.5710000000000001,4,4,130,32.5,2.3,42,10.5,7.0,2.8,0.5,0.25,1.3
罗德尼-胡德,0.9,0.2,1.7,6.938,0.5,1.8,2.75,1.125,0.818,16,0,373,23.3,0.6,158,9.9,2.3,0.4,1.125,0.353,0.4
帕特里克-贝弗利,4.7,1.0,6.7,7.832999999999999,0.4,3.5,1.3330000000000002,2.167,0.75,6,6,195,32.5,1.3,59,9.8,8.0,1.0,2.167,0.433,1.7
迈尔斯-特纳,1.5,1.8,5.3,8.75,0.4,3.5,3.25,0.75,0.615,4,4,126,31.5,1.0,39,9.8,6.3,0.0,0.75,0.214,0.8
安德鲁-伊格达拉,4.0,1.1,3.0,7.905,0.5,2.0,1.7619999999999998,1.3330000000000002,0.37799999999999995,21,15,629,30.0,1.3,206,9.8,4.3,1.1,1.3330000000000002,0.35,1.0
克林特-卡佩拉,1.5,1.1,6.5,7.455,0.6,2.4,3.182,0.0,0.429,11,11,331,30.1,3.7,107,9.7,10.3,0.3,0.0,0.0,1.5
戈登-海沃德,2.4,0.3,3.7,7.778,0.4,1.8,2.1109999999999998,1.0,1.0,9,0,267,29.7,0.3,86,9.6,4.0,0.7,1.0,0.375,1.6
尼古拉-米罗蒂奇,0.7,0.2,3.1,8.357000000000001,0.4,1.8,2.0,1.571,0.821,14,8,298,21.3,1.2,133,9.5,4.3,0.7,1.571,0.289,1.0
马克-加索尔,3.0,1.1,5.8,7.5,0.4,3.5,1.9169999999999998,1.4169999999999998,0.87,24,24,735,30.6,0.7,226,9.4,6.4,0.9,1.4169999999999998,0.382,0.9
赛尔吉-伊巴卡,0.9,1.0,4.5,8.042,0.5,3.3,1.75,0.375,0.762,24,0,500,20.8,1.5,225,9.4,6.0,0.5,0.375,0.237,1.0
威尔-巴顿,1.7,0.6,3.7,9.642999999999999,0.3,1.4,1.857,1.071,0.6920000000000001,14,3,328,23.4,1.1,127,9.1,4.8,0.3,1.071,0.273,1.0
乔-哈里斯,0.6,0.0,3.0,8.6,0.4,2.4,1.6,0.8,1.0,5,5,149,29.8,1.2,44,8.8,4.2,0.6,0.8,0.19,1.8
多曼塔斯-萨博尼斯,4.0,0.3,5.5,7.25,0.4,3.0,3.5,0.25,0.643,4,0,96,24.0,1.8,34,8.5,7.3,0.8,0.25,0.25,1.3
毛里斯-哈克里斯,1.4,1.0,3.1,6.813,0.5,3.5,2.25,0.43799999999999994,0.639,16,16,388,24.3,1.8,134,8.4,4.9,1.1,0.43799999999999994,0.25,1.1
马利克-比斯利,1.0,0.1,2.6,6.643,0.4,1.4,2.214,1.357,0.71,14,0,281,20.1,0.8,113,8.1,3.4,0.2,1.357,0.40399999999999997,0.5
沙巴兹-内皮尔,3.7,0.0,1.7,3.667,0.6,0.3,2.667,1.0,0.875,3,0,28,9.3,0.7,24,8.0,2.3,0.3,1.0,0.6,0.0
弗雷德-万维利特,2.6,0.3,1.4,6.917000000000001,0.4,2.0,1.2919999999999998,1.5830000000000002,0.774,24,0,592,24.7,0.3,192,8.0,1.7,0.8,1.5830000000000002,0.38799999999999996,0.9
兰斯顿-加洛维,1.0,1.0,3.3,8.5,0.3,2.5,0.0,2.25,0.0,4,0,110,27.5,0.5,31,7.8,3.8,0.5,2.25,0.36,0.5
韦恩-埃灵顿,1.3,0.0,3.0,8.75,0.3,1.0,0.5,1.75,1.0,4,4,131,32.8,0.8,31,7.8,3.8,0.8,1.75,0.318,0.5
兰德里-沙梅特,1.7,0.0,1.8,6.332999999999999,0.3,2.5,1.6669999999999998,1.6669999999999998,1.0,6,6,174,29.0,0.2,46,7.7,2.0,1.0,1.6669999999999998,0.32299999999999995,1.2
迈尔斯-莱昂纳德,1.1,0.1,3.1,5.909,0.5,2.5,0.818,1.273,0.33299999999999996,11,2,170,15.5,0.5,85,7.7,3.6,0.3,1.273,0.424,0.4
德马库斯-考辛斯,2.4,0.8,3.8,6.625,0.4,3.0,3.125,0.375,0.64,8,5,133,16.6,1.1,61,7.6,4.9,0.6,0.375,0.25,2.4
詹姆斯-恩尼斯,1.1,0.3,2.4,5.818,0.5,2.8,1.7269999999999999,0.818,0.632,11,0,232,21.1,1.5,83,7.5,3.8,0.4,0.818,0.281,0.9
科里-约瑟夫,1.0,0.0,1.5,6.0,0.5,1.8,0.5,1.0,1.0,4,0,85,21.3,0.3,30,7.5,1.8,0.8,1.0,0.444,0.0
