,assistsPG,blocksPG,defensiveReboundsPG,fgAttemptedPG,fgPCT,foulsPG,ftAttemptedPG,ftMadePG,ftPCT,games,gamesStarted,minutes,minutesPG,offensiveReboundsPG,points,pointsPG,reboundsPG,stealsPG,threesMadePG,threesPCT,turnoversPG,location
诺曼-鲍威尔,1.1,0.0,2.0,5.478,0.4,1.3,0.826,1.043,0.737,23,0,366,15.9,0.2,150,6.5,2.2,0.4,1.043,0.387,0.5,后卫
乔-因戈尔斯,5.0,0.0,4.2,7.4,0.3,2.8,0.0,1.6,0.0,5,5,151,30.2,0.6,32,6.4,4.8,2.2,1.6,0.276,1.6,后卫
特里-罗齐尔,1.9,0.2,3.9,6.556,0.3,1.7,1.778,0.889,0.75,9,0,162,18.0,0.4,58,6.4,4.3,0.4,0.889,0.235,1.1,后卫
伊斯-史密斯,3.5,0.3,2.5,9.5,0.3,2.0,1.0,0.25,0.75,4,0,81,20.3,0.3,24,6.0,2.8,0.8,0.25,0.14300000000000002,1.0,后卫
塞斯-库里,0.8,0.3,1.3,5.125,0.4,1.7,0.688,1.3130000000000002,0.818,16,0,326,20.4,0.3,90,5.6,1.6,0.8,1.3130000000000002,0.404,0.4,后卫
帕蒂-米尔斯,3.6,0.1,2.0,6.143,0.3,1.3,1.429,0.429,0.6,7,0,152,21.7,0.1,37,5.3,2.1,1.0,0.429,0.136,0.4,后卫
丹纽尔-豪斯,0.1,0.3,2.9,5.2860000000000005,0.3,1.6,1.143,1.143,0.5,7,0,141,20.1,0.3,34,4.9,3.1,0.4,1.143,0.258,0.6,后卫
福尔康-科尔克马兹,1.3,0.3,1.5,4.5,0.3,1.3,1.25,0.75,0.8,4,0,36,9.0,0.0,19,4.8,1.5,0.0,0.75,0.375,0.3,后卫
马库斯-斯马特,2.0,0.0,0.0,5.5,0.1,1.5,3.0,0.5,0.667,2,0,32,16.0,2.0,7,3.5,2.0,1.5,0.5,0.091,1.5,后卫
加雷特-坦普尔,0.3,0.2,1.0,1.833,0.3,1.3,1.6669999999999998,0.16699999999999998,0.7,6,0,63,10.5,0.2,14,2.3,1.2,0.5,0.16699999999999998,0.14300000000000002,0.3,后卫
艾伦-霍利迪,0.0,0.0,0.0,1.6669999999999998,0.4,1.0,0.0,0.333,0.0,3,0,13,4.3,0.0,5,1.7,0.0,0.0,0.333,0.5,0.3,后卫
